statement,veracity,light_normalization,full_normalization
"Says that in 41 states, government workers ""are better paid than the taxpayers who support them.""",0,"says that in 41 states, government workers ""are better paid than the taxpayers who support them.""",state government worker pay taxpayer support
"If we had the same staffing ratio (of officers to residents) as Seattle, we'd have 300 more officers in our department.""",1,"if we had the same staffing ratio (of officers to residents) as seattle, we'd have 300 more officers in our department.""",staffing ratio officer resident seattle officer department
"""For every 33 pregnant women that walk into a Planned Parenthood clinic, 32 receive an abortion.""",0,"""for every 33 pregnant women that walk into a planned parenthood clinic, 32 receive an abortion.""",pregnant woman walk plan parenthood clinic receive abortion
"Under a proposal by Rep. Paul Ryan, people on Medicare will only have $15,000 from the federal government to spend on their health care.",0,"under a proposal by rep. paul ryan, people on medicare will only have $15,000 from the federal government to spend on their health care.",proposal rep paul ryan people medicare federal government spend health care
"""Seniors will have to find $12,500 for health care because Republicans voted to end Medicare.""",0,"""seniors will have to find $12,500 for health care because republicans voted to end medicare.""",senior find health care republican vote end medicare
"""The facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governor's signature on a death warrant to end the case.""",1,"""the facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governor's signature on a death warrant to end the case.""",fact approximately person death row appellate review complete await governor signature death warrant end case
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",1,"""america's wealthiest 25 percent pay 86 percent of total income taxes. wealthiest 5 percent pay 60 percent of total income taxes.""",america wealthy percent pay percent total income taxis wealthy percent pay percent total income taxis
"""Every time we've cut taxes, revenues have gone up, the economy has grown.""",0,"""every time we've cut taxes, revenues have gone up, the economy has grown.""",time ve cut taxis revenue economy grow
"""[Appalachian Power] wants another 10 percent rate increase. The compensation package for CEO Mike Morris rose 22 percent to $8.7 million in 2010.""",1,"""[appalachian power] wants another 10 percent rate increase. the compensation package for ceo mike morris rose 22 percent to $8.7 million in 2010.""",appalachian power want percent rate increase compensation package ceo mike morris rise percent million
"Says the fluoride Austin is putting in its drinking water is ""toxic waste.""",0,"says the fluoride austin is putting in its drinking water is ""toxic waste.""",fluoride austin drinking water toxic waste
Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.,0,says president franklin delano roosevelt sent his advisers to study socialism with soviet dictator josef stalin so the president could replicate it in the united states.,president franklin delano roosevelt send adviser study socialism soviet dictator josef stalin president replicate united state
